,PMID,title,abstract,year,keyw,affiliation,lang,journal,country,authors,pub_type,keywords,decades,ventennio
10,15408619,"['Pathogenesis', 'chronic', 'middle', 'ear', 'inflammation']",,1949,OTITIS MEDIA,[],['ger'],['Monatsschrift fur Ohrenheilkunde und Laryngo-Rhinologie'],['Austria'],"[['RICCABONA', 'A']]",['Journal Article'],"['OTITIS', 'MEDIA']",40s,30-50s
11,15397272,"['Chronic', 'right', 'pulmonary', 'suppuration']",,1949,LUNGS,[],['spa'],['Clinica del torax'],['Argentina'],"[['LEVA', 'A'], ['BLANCO RUIZ', 'C V']]",['Journal Article'],['LUNGS'],40s,30-50s
12,15391389,"['Pelvirectal', 'abscess', 'right']",,1949,ABSCESS,[],['eng'],['Annals of western medicine and surgery'],['United States'],"[['MASSELL', 'T B'], ['WALLIN', 'I O']]",['Journal Article'],['ABSCESS'],40s,30-50s
13,18147247,"['Syphilitic', 'heart', 'disease', 'aortitis', 'aortic', 'valvulitis']",,1949,AORTAinflammation AORTIC VALVEinflammation HEARTsyphilis,[],['eng'],['Cincinnati journal of medicine'],['United States'],"[['BENJAMIN', 'J E'], ['BLANKENHORN', 'M A']]",['Journal Article'],"['AORTAinflammation', 'AORTIC', 'VALVEinflammation', 'HEARTsyphilis']",40s,30-50s
14,18147090,"['Effect', 'tripelennamine', 'hydrochloride', 'acute', 'inflammation']",,1949,PYRIBENZAMINE,[],['eng'],['Archives of pathology'],['United States'],"[['WEEKS', 'R E'], ['GUNNAR', 'R M']]",['Journal Article'],['PYRIBENZAMINE'],40s,30-50s
15,18139143,"['Pelvic', 'myalgia', 'complication', 'posterior', 'urethritis', 'males', 'females']",,1949,MUSCLESpain URETHRAinflammation,[],['eng'],['The Journal of urology'],['United States'],"[['POWELL', 'N B']]",['Journal Article'],"['MUSCLESpain', 'URETHRAinflammation']",40s,30-50s
16,18133620,"['A', 'delayed', 'chronic', 'inflammatory', 'reaction', 'antigen', 'depot', 'guinea', 'pig', 'effected', 'systemic', 'sensitization']",,1949,ANAPHYLAXIS AND ALLERGY,[],['eng'],"['Journal of immunology (Baltimore, Md. : 1950)']",['United States'],"[['KOPELOFF', 'L M'], ['KOPELOFF', 'N']]",['Journal Article'],"['ANAPHYLAXIS', 'AND', 'ALLERGY']",40s,30-50s
17,18136273,"['Intramedullary', 'abscess', 'spinal', 'cord']",,1949,SPINAL CORDabscess,[],['eng'],"['Lancet (London, England)']",['England'],"[['FOLEY', 'J']]",['Journal Article'],"['SPINAL', 'CORDabscess']",40s,30-50s
18,18136595,"['Statistical', 'note', 'treatment', 'tuberculous', 'empyema', 'paminosalicylic', 'acid', 'PASCilag']",,1949,EMPYEMAtuberculous SALICYL COMPOUNDSaminosalicylic acid,[],['fre'],['Schweizerische medizinische Wochenschrift'],['Switzerland'],"[['GILLIARD', 'A']]",['Journal Article'],"['EMPYEMAtuberculous', 'SALICYL', 'COMPOUNDSaminosalicylic', 'acid']",40s,30-50s
19,18136453,"['Discussion', 'mechanism', 'renal', 'involvement', 'cases', 'perfringens', 'septicemia', 'cured', 'penicillin']",,1949,BACTERIAclostridium PENICILLINtherapy SEPTICEMIA,[],['fre'],['La Presse medicale'],['France'],"[['ALBEAUX-FERNET', 'G']]",['Journal Article'],"['BACTERIAclostridium', 'PENICILLINtherapy', 'SEPTICEMIA']",40s,30-50s
20,18132569,"['Abscesses', 'liver', 'spleen', 'actinomycotic', 'peritonitis', 'chronic', 'acute', 'diffuse']",,1949,ACTINOMYCOSIS LIVERabscess PERITONITIScomplications and sequels SPLEENabscess,[],['eng'],['The Journal of the Oklahoma State Medical Association'],['United States'],"[['HALPERT', 'B'], ['FARRIS', 'E M']]",['Journal Article'],"['ACTINOMYCOSIS', 'LIVERabscess', 'PERITONITIScomplications', 'and', 'sequels', 'SPLEENabscess']",40s,30-50s
21,15421555,"['Surgical', 'therapy', 'tuberculous', 'empyemas']",,1949,EMPYEMA TUBERCULOSIS PULMONARY,[],['und'],"['Gruzlica (Warsaw, Poland : 1926)']",['Poland'],"[['BROSS', 'W']]",['Journal Article'],"['EMPYEMA', 'TUBERCULOSIS', 'PULMONARY']",40s,30-50s
22,18133923,['Sinusitis'],,1949,SINUSES NASALinflammation,[],['eng'],['Medical world'],['England'],"[['BARNETT', 'H N']]",['Journal Article'],"['SINUSES', 'NASALinflammation']",40s,30-50s
23,18132498,"['Treatment', 'tuberculous', 'empyaema', 'paraaminosalicylic', 'acid']",,1949,EMPYEMAtuberculous SALICYL COMPOUNDSpaminosalicylic acid TUBERCULOSIS PULMONARYtherapy,[],['eng'],['Edinburgh medical journal'],['Scotland'],"[['SIMPSON', 'J']]",['Journal Article'],"['EMPYEMAtuberculous', 'SALICYL', 'COMPOUNDSpaminosalicylic', 'acid', 'TUBERCULOSIS', 'PULMONARYtherapy']",40s,30-50s
24,18131688,"['Thorn', 'body', 'causing', 'abscess', 'years']",,1949,FOREIGN BODIES INFECTION,[],['eng'],['California medicine'],['United States'],"[['CLARKE', 'R W'], ['KLOTZ', 'N C']]",['Journal Article'],"['FOREIGN', 'BODIES', 'INFECTION']",40s,30-50s
25,18128715,"['Combined', 'resection', 'lung', 'parietal', 'pleura', 'treatment', 'pulmonary', 'suppuration', 'empyema']",,1949,EMPYEMAtherapy LUNGSdiseases,[],['eng'],['New York state journal of medicine'],['United States'],"[['LLOYD', 'M S'], ['NACLEIO', 'E A']]",['Journal Article'],"['EMPYEMAtherapy', 'LUNGSdiseases']",40s,30-50s
26,18153849,"['Foreign', 'body', 'periurethritis', 'grass', 'leaf']",,1949,URETHRAinflammation,[],['ger'],['Wiener klinische Wochenschrift'],['Austria'],"[['KELLNER', 'H']]",['Journal Article'],['URETHRAinflammation'],40s,30-50s
27,18152473,"['Antibiotic', 'treatment', 'implemented', 'pulmonary', 'abscess', 'therapies', 'complicated', 'empyema']",,1949,ANTIBIOTICS EMPYEMAcomplications and sequels LUNGSabscess,[],['ita'],['Minerva medica'],['Italy'],"[['PANI', 'A']]",['Journal Article'],"['ANTIBIOTICS', 'EMPYEMAcomplications', 'and', 'sequels', 'LUNGSabscess']",40s,30-50s
28,18229200,"['Chronic', 'middle', 'ear', 'suppuration', 'congestion', 'papilla', 'suspected', 'abscess']",,1949,ABSCESS NEURITISoptic OTITIS MEDIA,[],['ger'],['Wiener klinische Wochenschrift'],['Austria'],"[['NOVOTNY', 'O']]",['Journal Article'],"['ABSCESS', 'NEURITISoptic', 'OTITIS', 'MEDIA']",40s,30-50s
29,18130541,"['The', 'Hypertonia', 'Venous', 'Capillaries', 'New', 'Element', 'Inflammatory', 'Syndrome']",,1949,CAPILLARIES INFLAMMATION VEINS,[],['fre'],"[""Comptes rendus hebdomadaires des seances de l'Academie des sciences""]",['France'],"[['RAY', 'J A'], ['HAGBERG', 'S']]",['Journal Article'],"['CAPILLARIES', 'INFLAMMATION', 'VEINS']",40s,30-50s
30,18126864,"['Two', 'Cases', 'Of', 'Iritis', 'With', 'Histological', 'Examination', 'In', 'BesnierBoecks', 'Disease']",,1949,IRISinflammation SARCOIDOSIScomplications and sequels,[],['fre'],['Lyon medical'],['France'],[],['Journal Article'],"['IRISinflammation', 'SARCOIDOSIScomplications', 'and', 'sequels']",40s,30-50s
31,18153453,"['Preservation', 'fertility', 'calcareous', 'tuberculous', 'seminal', 'vesiculitis']",,1949,FECUNDITY SEMINAL VESICLEStuberculosis,[],['eng'],"['Bulletin of the School of Medicine (Baltimore, Md.)']",['United States'],"[['TOULSON', 'W H']]",['Journal Article'],"['FECUNDITY', 'SEMINAL', 'VESICLEStuberculosis']",40s,30-50s
32,18146452,"['Parapharyngeal', 'Jaundice', 'Abscess', 'After', 'Foreign', 'Body', 'Injury', 'With', 'Consecutive', 'Neck', 'Phlegmon', 'Mediastinitis', 'Exitus']",,1949,PHARYNXabscess,[],['ger'],['Monatsschrift fur Ohrenheilkunde und Laryngo-Rhinologie'],['Austria'],"[['SISCHKA', 'O']]",['Journal Article'],['PHARYNXabscess'],40s,30-50s
33,18127921,"['Rupture', 'tuberculous', 'paravertebral', 'abscess', 'pleural', 'cavity']",,1949,PLEURA SPINEtuberculosis,[],['eng'],['Proceedings of the Royal Society of Medicine'],['England'],"[['ALBERT', 'M']]",['Journal Article'],"['PLEURA', 'SPINEtuberculosis']",40s,30-50s
34,18117636,"['Pectoral', 'myoplasty', 'closure', 'residual', 'empyema', 'cavity', 'bronchial', 'fistula']",,1949,EMPYEMAtherapy FISTULAbronchial,[],['eng'],['Surgery'],['United States'],"[['MAIER', 'H C'], ['LUOMANEN', 'R K J']]",['Journal Article'],"['EMPYEMAtherapy', 'FISTULAbronchial']",40s,30-50s
35,18150430,"['Duplays', 'sundrome']",,1949,BURSAinflammation,[],['und'],['Polski tygodnik lekarski'],['Poland'],"[['HAUSMAN', 'A']]",['Journal Article'],['BURSAinflammation'],40s,30-50s
36,18127928,"['Some', 'cases', 'pulmonary', 'tuberculosis', 'tuberculous', 'thoracic', 'fistulas', 'treated', 'streptomycin', 'upcoming', 'results']",,1949,FISTULAthoracic STREPTOMYCINtherapy TUBERCULOSIS PULMONARYtherapy,[],['spa'],['Revista medica de Chile'],['Chile'],"[['RODRIGUEZ', 'A'], ['ZANOLLI GRANELLO', 'M'], ['MENDOZA TOLEDO', 'F']]",['Journal Article'],"['FISTULAthoracic', 'STREPTOMYCINtherapy', 'TUBERCULOSIS', 'PULMONARYtherapy']",40s,30-50s
37,18126976,"['Dental', 'sepsis', 'chronic', 'rheumatism']",,1949,RHEUMATISMetiology and pathogenesis,[],['eng'],['Proceedings of the Royal Society of Medicine'],['England'],"[['KERSLEY', 'G D']]",['Journal Article'],"['RHEUMATISMetiology', 'and', 'pathogenesis']",40s,30-50s
38,18124275,"['Primary', 'pelvic', 'abscess', 'Staphylococcus', 'albus']",,1949,PELVISabscess,[],['eng'],['The Journal of the Arkansas Medical Society'],['United States'],"[['STERN', 'H S'], ['MORRIS', 'H J']]",['Journal Article'],['PELVISabscess'],40s,30-50s
39,18120357,"['Therapeutic', 'use', 'albucid', 'suppurative', 'ulcer', 'cornea']",,1949,CORNEAulcers,[],['und'],['Vestnik oftalmologii'],['Russia Federation'],"[['SHARC', 'S E']]",['Journal Article'],['CORNEAulcers'],40s,30-50s
40,18114815,"['Preliminary', 'report', 'use', 'sulfamethazine', 'penicillin', 'bovine', 'mastitis']",,1949,UDDERSinflammation,[],['eng'],['Veterinary medicine'],['United States'],"[['FULLER', 'R W']]",['Journal Article'],['UDDERSinflammation'],40s,30-50s
41,18150871,"['Allergic', 'tonsillitis']",,1949,ANAPHYLAXIS AND ALLERGY TONSILSinflammation,[],['ita'],['Progressi di terapia'],['Italy'],"[['LUCHERINI', 'T'], ['CECCHI', 'E']]",['Journal Article'],"['ANAPHYLAXIS', 'AND', 'ALLERGY', 'TONSILSinflammation']",40s,30-50s
42,18129049,"['Newborn', 'breast', 'infections', 'treatment']",,1949,BREASTinflammation PUERPERIUMcomplications,[],['fre'],['La Puericulture'],['France'],"[['CHASTRUSSE', 'L']]",['Journal Article'],"['BREASTinflammation', 'PUERPERIUMcomplications']",40s,30-50s
43,18126581,"['Oral', 'pemphigus', 'report', 'case']",,1949,MOUTHdiseases PEMPHIGUS,[],['eng'],['Journal of the American Dental Association (1939)'],['England'],"[['BAUM', 'M G']]",['Journal Article'],"['MOUTHdiseases', 'PEMPHIGUS']",40s,30-50s
44,18111862,"['Management', 'mortality', 'periurethral', 'phlegmons']",,1949,ABSCESSperiurethral,[],['eng'],['The Journal of urology'],['United States'],"[['RIEKERT', 'J G']]",['Journal Article'],['ABSCESSperiurethral'],40s,30-50s
45,18110516,"['Isolation', 'Bacillus', 'anthracislike', 'organism', 'periapical', 'abscess']",,1949,BACTERIAanthracis TEETHabscess,[],['eng'],"['Oral surgery, oral medicine, and oral pathology']",['United States'],"[['JOHNSON', 'C W'], ['BANKS', 'S O']]",['Journal Article'],"['BACTERIAanthracis', 'TEETHabscess']",40s,30-50s
46,18108393,"['Reconstruction', 'nasal', 'septum']",,1949,NOSEseptum,[],['eng'],"['Eye, ear, nose & throat monthly']",['United States'],"[['ERSNER', 'M S']]",['Journal Article'],['NOSEseptum'],40s,30-50s
47,18107697,"['Operative', 'treatment', 'acute', 'subdeltoid', 'bursitis', 'calcification']",,1949,BURSAinflammation SHOULDERsurg,[],['eng'],['Industrial medicine & surgery'],['United States'],"[['PELLAND', 'P O'], ['HOFFMAN', 'W']]",['Journal Article'],"['BURSAinflammation', 'SHOULDERsurg']",40s,30-50s
48,18115333,"['Two', 'cases', 'perforation', 'nasal', 'septum', 'workers', 'handling', 'arsenic']",,1949,INDUSTRY AND OCCUPATIONSdiseases and poisoning NOSEseptum,[],['fre'],['Lyon medical'],['France'],"[['REBATTU', 'H'], ['MARTIN', 'H']]",['Journal Article'],"['INDUSTRY', 'AND', 'OCCUPATIONSdiseases', 'and', 'poisoning', 'NOSEseptum']",40s,30-50s
49,18128728,"['Surgical', 'treatment', 'tuberculous', 'empyema']",,1949,EMPYEMAtuberculous,[],['und'],['Nordisk medicin'],['Sweden'],"[['HARBITZ', 'H F']]",['Journal Article'],['EMPYEMAtuberculous'],40s,30-50s
50,18115964,"['About', 'case', 'sepsis', 'tooth', 'extraction']",,1949,SEPTICEMIAetiology and pathogenesis TEETHextraction,[],['ger'],['Dentistische Rundschau'],['Germany'],"[['KOTZSCHKE', 'G H']]",['Journal Article'],"['SEPTICEMIAetiology', 'and', 'pathogenesis', 'TEETHextraction']",40s,30-50s
51,18108158,"['Lung', 'abscess', 'brain', 'abscess']",,1949,BRAINabscess LUNGSabscess,[],['spa'],['Prensa medica argentina'],['Argentina'],"[['JOSELVICH', 'M'], ['KLEIMANS', 'M']]",['Journal Article'],"['BRAINabscess', 'LUNGSabscess']",40s,30-50s
52,18149606,"['Pyrotherapy', 'As', 'A', 'Diagnostic', 'Provocation', 'In', 'Uvitis']",,1949,FEVERtherapeutic UVEAinflammation,[],['fre'],"[""Archives d'ophtalmologie et revue generale d'ophtalmologie""]",['France'],"[['KAPUSCINSKI', 'W J']]",['Journal Article'],"['FEVERtherapeutic', 'UVEAinflammation']",40s,30-50s
53,18149270,"['The', 'effect', 'bacterial', 'spreading', 'factors', 'local', 'generalized', 'experimental', 'tuberculous', 'infection']",,1949,TUBERCULOSISexperimental,[],['eng'],['Acta tuberculosea Scandinavica'],['Denmark'],"[['BERGQVIST', 'S'], ['PACKALEN', 'T']]",['Journal Article'],['TUBERCULOSISexperimental'],40s,30-50s
54,18125734,"['An', 'interesting', 'case', 'lobectomy', 'large', 'lung', 'abscesses']",,1949,LUNGSabscess,[],['fre'],['Acta chirurgica Belgica'],['England'],[],['Journal Article'],['LUNGSabscess'],40s,30-50s
55,18125128,"['The', 'silence', 'rheumatic', 'iritis', 'postthermal', 'crises', 'clinical', 'value', 'silence']",,1949,IRISinflammation,[],['fre'],['La Presse thermale et climatique'],['France'],"[['SEDAN', 'J'], ['SEDAN-BAUBY', 'S']]",['Journal Article'],['IRISinflammation'],40s,30-50s
56,18115736,"['Bloodless', 'treatment', 'hot', 'abscesses', 'inchildren']",,1949,ABSCESSin infants and children,[],['spa'],['Revista espanola de pediatria'],['Spain'],"[['MONTERO', 'N']]",['Journal Article'],"['ABSCESSin', 'infants', 'and', 'children']",40s,30-50s
57,18104163,"['Chronic', 'abscesses', 'secondary', 'cholelithiasis', 'perforation', 'gallbladder']",,1949,GALLBLADDERperforation,[],['eng'],['American journal of surgery'],['United States'],"[['RIGDON', 'R H']]",['Journal Article'],['GALLBLADDERperforation'],40s,30-50s
58,18122165,"['Systemic', 'mycoses', 'coccidioidomycosis', 'histoplasmosis']",,1948,HISTOPLASMOSIS MYCOSES,[],['eng'],['Pediatrics'],['United States'],"[['PETERSON', 'J C']]",['Journal Article'],"['HISTOPLASMOSIS', 'MYCOSES']",40s,30-50s
59,18110771,"['A', 'case', 'solitary', 'nonamebic', 'liver', 'abscess', 'healed', 'year']",,1948,LIVERabscess,[],['spa'],['Boletin. Madrid. Hospital Provincial. Instituto de Patologia Medica'],['Spain'],"[['OLIVER-PASCUAL', 'E'], ['MUNOZ CALERO', 'A'], ['ANDOLZ', 'F']]",['Journal Article'],['LIVERabscess'],40s,30-50s
60,18101295,"['Streptomycin', 'treatment', 'tuberculous', 'abscesses', 'sinuses']",,1948,STREPTOMYCIN TUBERCULOSIStherapy,[],['eng'],['The Surgical clinics of North America'],['United States'],"[['WINTERHOFF', 'E H'], ['WEBER', 'W D']]",['Journal Article'],"['STREPTOMYCIN', 'TUBERCULOSIStherapy']",40s,30-50s
61,18892787,"['Radioroentgentherapic', 'treatment', 'hemorrhagic', 'diseases']",,1948,UTERUShemorrhage UTERUSinflammation,[],['fre'],"[""La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris""]",['France'],"[['PONZIO', 'M']]",['Journal Article'],"['UTERUShemorrhage', 'UTERUSinflammation']",40s,30-50s
62,18892753,"['Uveitis', 'sarcoma']",,1948,SARCOMAdiagnosis UVEAinflammation UVEAtumor,[],['fre'],['Revue medicale de la Suisse romande'],['Switzerland'],"[['BABEL', 'J'], ['DORET', 'J P'], ['DORET', 'M']]",['Journal Article'],"['SARCOMAdiagnosis', 'UVEAinflammation', 'UVEAtumor']",40s,30-50s
63,18119512,"['A', 'purulent', 'pleurisy', 'B', 'ramosus', 'associated', 'pneumo', 'bacillus', 'Friedlander', 'mixed', 'treatment', 'high', 'dose', 'penicillin', 'streptomycin', 'thoracotomy', 'recovery']",,1948,PLEURAdiseasestherapy,[],['fre'],['Bulletins et memoires de la Societe medicale des hopitaux de Paris'],['France'],"[['MULLER', 'B'], ['BARLATIER', 'L'], ['BAYON', 'A']]",['Journal Article'],['PLEURAdiseasestherapy'],40s,30-50s
64,18933542,"['Sinus', 'suppuration', 'brain', 'abscess']",,1948,BRAINabscess SINUSITIS,[],['eng'],['The New Zealand medical journal'],['New Zealand'],"[['McKENZIE', 'D']]",['Journal Article'],"['BRAINabscess', 'SINUSITIS']",40s,30-50s
65,18894087,"['CHIacute', 'epididymitis', 'diagnostic']",,1948,EPIDIDYMISinflammation TESTESdiseases,[],['fre'],"[""L' Hopital""]",['France'],[],['Journal Article'],"['EPIDIDYMISinflammation', 'TESTESdiseases']",40s,30-50s
66,18890273,"['Thiouracil', 'acute', 'thyroiditis']",,1948,THIOURACILtherapy THYROIDinflammationacute therapy,[],['eng'],['Annals of internal medicine'],['United States'],"[['CANTWELL', 'R C']]",['Journal Article'],"['THIOURACILtherapy', 'THYROIDinflammationacute', 'therapy']",40s,30-50s
67,18886854,"['Lung', 'abscess', 'Failure', 'penicillin', 'lobectomy']",,1948,LUNGabscess LUNGsurgery,[],['fre'],['Journal des sciences medicales de Lille'],['France'],"[['CLERC', 'A'], ['GIARD', 'P']]",['Journal Article'],"['LUNGabscess', 'LUNGsurgery']",40s,30-50s
68,18881635,"['Chronic', 'gastritis', 'superficial', 'type', 'superimposed', 'hypertrophic', 'type']",,1948,STOMACHinflammation,[],['eng'],['The New England journal of medicine'],['United States'],"[['HALSTED', 'J A'], ['ALLEN', 'W A']]",['Journal Article'],['STOMACHinflammation'],40s,30-50s
69,18893967,"['Acute', 'infantile', 'hypoglottic', 'laryngitis']",,1948,LARYNGITISinfants NASOPHARYNXinflammation infants,[],['ita'],"['Athena; rassegna mensile di biologia, clinica e terapia']",['Italy'],"[['LEONARDELLI', 'G B']]",['Journal Article'],"['LARYNGITISinfants', 'NASOPHARYNXinflammation', 'infants']",40s,30-50s
70,18885447,"['Surgery', 'nasal', 'septum', 'new', 'operative', 'procedures', 'indications']",,1948,NOSEseptum,[],['eng'],"['The Annals of otology, rhinology, and laryngology']",['United States'],"[['COTTLE', 'M H'], ['LORING', 'R M']]",['Journal Article'],['NOSEseptum'],40s,30-50s
71,18883797,"['The', 'problem', 'nonspecific', 'urethritis']",,1948,URETHRAinflammation,[],['eng'],"[""Surgeon's circular letter. United States. Far East Command. Medical Section""]",['Japan'],"[['McDONALD', 'H E']]",['Journal Article'],['URETHRAinflammation'],40s,30-50s
72,18934382,"['Tubercular', 'panophthalmitis']",,1948,EYEinflammation,[],['ger'],['Wiener klinische Wochenschrift'],['Austria'],"[['FISCHER', 'F']]",['Journal Article'],['EYEinflammation'],40s,30-50s
73,18890173,"['Toxaemia', 'pregnancy']",,1948,PREGNANCYtoxemia,[],['eng'],['Midwives chronicle'],['England'],"[['HALLUM', 'J']]",['Journal Article'],['PREGNANCYtoxemia'],40s,30-50s
74,18877867,"['The', 'importance', 'complement', 'fixation', 'test', 'amebic', 'hepatitis', 'liver', 'abscess']",,1948,COMPLEMENTfixation HEPATITISamebic LIVERabscess,[],['eng'],['Southern medical journal'],['United States'],"[['TERRY', 'L L'], ['BOZICEVICH', 'J']]",['Journal Article'],"['COMPLEMENTfixation', 'HEPATITISamebic', 'LIVERabscess']",40s,30-50s
75,18876871,"['Mite', 'transmission', 'hemorrhagic', 'septicemia', 'snakes']",,1948,MITES SEPTICEMIAhemorrhagic,[],['eng'],['The Journal of parasitology'],['United States'],"[['CAMIN', 'J H']]",['Journal Article'],"['MITES', 'SEPTICEMIAhemorrhagic']",40s,30-50s
76,18871899,"['Steril', 'pyuria']",,1948,URINEsterile pus,[],['eng'],['The Journal-lancet'],['United States'],"[['NOONAN', 'W J']]",['Journal Article'],"['URINEsterile', 'pus']",40s,30-50s
77,18225113,"['Mediastinal', 'abscess']",,1948,MEDIASTINUMabscess,[],['ger'],['HNO'],['Germany'],[],['Journal Article'],['MEDIASTINUMabscess'],40s,30-50s
78,18106980,"['Mechanisms', 'leukopenia', 'inflammation', 'additional', 'leukopenic', 'factor', 'alkaline', 'exudates']",,1948,LEUKOCYTES,[],['eng'],['Archives of pathology'],['United States'],"[['MENKIN', 'V']]",['Journal Article'],['LEUKOCYTES'],40s,30-50s
79,18876362,"['The', 'bladder', 'phlegmon']",,1948,BLADDERinflammation,[],['ger'],['Wiener klinische Wochenschrift'],['Austria'],"[['ULTZMANN', 'H']]",['Journal Article'],['BLADDERinflammation'],40s,30-50s
80,18873905,"['Iritis', 'vitamin', 'D', 'therapy']",,1948,IRISinflammation VITAMIN D2toxicity,[],['ger'],['Klinische Medizin; osterreichische Zeitschrift fur wissenschaftliche und praktische Medizin'],['Austria'],[],['Journal Article'],"['IRISinflammation', 'VITAMIN', 'Dtoxicity']",40s,30-50s
81,18934748,"['Terrain', 'conditions', 'factors', 'endocular', 'inflammation']",,1948,CONTACT LENSES EYEinflammation,[],['fre'],['Schweizerische medizinische Wochenschrift'],['Switzerland'],"[['VERREY', 'F']]",['Journal Article'],"['CONTACT', 'LENSES', 'EYEinflammation']",40s,30-50s
82,18892185,"['On', 'use', 'local', 'penicillin', 'adnexal', 'inflammation']",,1948,PENICILLINtherapy UTERUSadnex,[],['ita'],['Rivista di ostetricia e ginecologia'],['Italy'],"[['INGIULLA', 'W']]",['Journal Article'],"['PENICILLINtherapy', 'UTERUSadnex']",40s,30-50s
83,18881508,"['On', 'case', 'pseudomalaria', 'septicemia', 'Micrococcus', 'catarrhalis']",,1948,SEPTICEMIAmicrococcic,[],['fre'],['Journal de medecine de Bordeaux et du Sud-Ouest'],['France'],"[['CREYX', 'M'], ['LEVY', 'J']]",['Journal Article'],['SEPTICEMIAmicrococcic'],40s,30-50s
84,18875202,"['Gingivorrhagia', 'functional', 'disorder', 'blood', 'crase']",,1948,GINGIVAinflammation,[],['fre'],['Revue de stomatologie'],['France'],"[['LACRONIQUE', 'G'], ['BEAL', 'G J'], ['GOUDAERT', 'M']]",['Journal Article'],['GINGIVAinflammation'],40s,30-50s
85,18869635,"['The', 'similarity', 'estrogenic', 'effect', 'premenstrual', 'tension', 'menstrual', 'anomalies', 'chronic', 'cystic', 'mastitis', 'cancer', 'breast']",,1948,BREAST CANCER BREASTinflammation cystic ESTROGENSeffects MENSTRUATIONdiseases,[],['eng'],['The Journal of clinical endocrinology and metabolism'],['United States'],"[['MORTON', 'J H']]",['Journal Article'],"['BREAST', 'CANCER', 'BREASTinflammation', 'cystic', 'ESTROGENSeffects', 'MENSTRUATIONdiseases']",40s,30-50s
86,18870981,"['The', 'drawbacks', 'encountered', 'local', 'treatment', 'pleural', 'empyema', 'chemotherapeutic', 'antibiotic', 'agents']",,1948,PLEURAempyema,[],['eng'],['Acta chirurgica Scandinavica'],['Sweden'],"[['HANSEN', 'J L']]",['Journal Article'],['PLEURAempyema'],40s,30-50s
87,18870980,"['Pulmonary', 'abscesses', 'attended', 'pleural', 'complications']",,1948,LUNGabscess PLEURAdiseases,[],['eng'],['Acta chirurgica Scandinavica'],['Sweden'],"[['HANSEN', 'J L']]",['Journal Article'],"['LUNGabscess', 'PLEURAdiseases']",40s,30-50s
